Player,Rk,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
Grant Williams,5.0,25.0,PF,47.0,33.0,26.4,2.8,6.7,0.413,1.7,4.5,0.376,1.1,2.3,0.486,0.538,0.9,1.2,0.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,,willigr01
Josh Green,6.0,23.0,SG,57.0,33.0,26.4,3.1,6.6,0.479,1.3,3.3,0.385,1.9,3.3,0.572,0.575,0.7,1.0,0.684,0.7,2.5,3.2,2.3,0.8,0.2,1.1,1.9,8.2,,greenjo02
Derrick Jones Jr.,7.0,26.0,SF,76.0,66.0,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,,jonesde02
Dereck Lively II,8.0,19.0,C,55.0,42.0,23.5,4.0,5.4,0.747,0.0,0.0,0.0,4.0,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,ROY-6,livelde01
Daniel Gafford,9.0,25.0,PF,29.0,21.0,21.5,5.0,6.4,0.78,0.0,0.0,,5.0,6.4,0.78,0.78,1.2,1.9,0.607,2.2,4.7,6.9,1.6,0.7,1.9,1.0,2.8,11.2,,gaffoda01
Maxi Kleber,10.0,32.0,C,43.0,7.0,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,,klebima01
Dante Exum,11.0,28.0,PG,55.0,17.0,19.8,2.9,5.5,0.533,1.0,2.0,0.491,2.0,3.5,0.557,0.621,1.0,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8,,exumda01
Jaden Hardy,12.0,21.0,SG,73.0,7.0,13.5,2.7,6.6,0.407,1.1,3.1,0.362,1.6,3.5,0.447,0.492,0.8,1.0,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1,7.3,,hardyja02
Dwight Powell,13.0,32.0,C,63.0,9.0,13.3,1.1,1.7,0.679,0.0,0.0,0.333,1.1,1.6,0.689,0.684,1.0,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3,,poweldw01
Alex Fudge,14.0,20.0,SF,2.0,0.0,13.0,2.5,4.5,0.556,0.5,1.5,0.333,2.0,3.0,0.667,0.611,0.0,0.0,,1.0,0.5,1.5,0.0,1.5,0.0,0.5,0.5,5.5,,fudgeal01
Seth Curry,15.0,33.0,SG,36.0,3.0,12.7,1.5,4.0,0.372,0.8,2.2,0.363,0.7,1.8,0.385,0.472,0.5,0.5,0.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3,,curryse01
Richaun Holmes,16.0,30.0,C,23.0,2.0,10.3,1.4,2.6,0.559,0.0,0.0,,1.4,2.6,0.559,0.559,0.5,0.9,0.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4,,holmeri01
Olivier-Maxence Prosper,17.0,21.0,PF,40.0,1.0,8.4,1.0,2.6,0.385,0.3,1.1,0.289,0.7,1.5,0.458,0.447,0.7,1.0,0.683,0.6,1.4,2.0,0.6,0.2,0.1,0.2,0.5,3.0,,prospol01
Markieff Morris,18.0,34.0,PF,26.0,1.0,8.3,0.9,2.6,0.338,0.6,1.6,0.357,0.3,1.0,0.308,0.449,0.2,0.2,0.833,0.2,1.3,1.5,0.6,0.2,0.1,0.5,0.5,2.5,,morrima02
Dexter Dennis,19.0,24.0,SG,4.0,0.0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,,dennide01
A.J. Lawson,20.0,23.0,SG,42.0,0.0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,,lawsoaj01
Greg Brown III,21.0,22.0,PF,6.0,0.0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,,browngr01
Brandon Williams,22.0,24.0,PG,17.0,0.0,6.6,1.2,3.2,0.37,0.2,0.9,0.2,1.0,2.3,0.436,0.398,0.6,1.0,0.647,0.2,0.5,0.8,1.0,0.1,0.1,0.4,0.2,3.2,,willibr03
